% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.369482507e+10 +3.369482507e+10 +3.369482445e+10 +3.369482445e+10 -4.2917e+00 -4.6355e+00 +3.5576e+00 -2.2686e+00 +2.1165e+00 +3.0770e+00 +2.7666e+00 -1.4231e+00 -6.2366e-01 +1.2258e+00 -7.5248e-01 +1.6259e+00 +3.4497e+00 +3.3518e+00 -9.6596e-01 +6.2926e-01 +2.1390e+00 +1.5513e+00 -4.6518e+00 +3.6835e+00
22 +8.953565716e+09 +8.953565716e+09 +8.953565095e+09 +8.953565095e+09 -4.2579e+00 -3.8780e+00 +3.1939e+00 -2.5533e+00 +1.7015e+00 +2.0770e+00 +2.3568e+00 -1.0854e+00 -3.4623e-01 +1.5058e+00 -7.7725e-01 +1.7478e+00 +3.8190e+00 +3.6141e+00 -7.5066e-01 +7.7200e-01 +2.1473e+00 +1.2002e+00 -4.5731e+00 +3.4932e+00
43 +5.387219791e+09 +5.387219791e+09 +5.387219170e+09 +5.387219170e+09 -4.2373e+00 -3.5816e+00 +3.0499e+00 -2.6683e+00 +1.5471e+00 +1.7002e+00 +2.1964e+00 -9.6106e-01 -2.4186e-01 +1.6129e+00 -7.9229e-01 +1.7938e+00 +3.9486e+00 +3.7061e+00 -6.6151e-01 +8.0456e-01 +2.1451e+00 +1.0774e+00 -4.5402e+00 +3.4147e+00
64 +2.585939451e+09 +2.585939451e+09 +2.585938830e+09 +2.585938830e+09 -4.1996e+00 -3.1335e+00 +2.8306e+00 -2.8456e+00 +1.3214e+00 +1.1437e+00 +1.9537e+00 -7.8021e-01 -8.7686e-02 +1.7726e+00 -8.1987e-01 +1.8617e+00 +4.1305e+00 +3.8354e+00 -5.2139e-01 +8.3263e-01 +2.1371e+00 +9.0517e-01 -4.4891e+00 +3.2928e+00
85 +1.476553597e+09 +1.476553597e+09 +1.476552976e+09 +1.476552976e+09 -4.1617e+00 -2.7544e+00 +2.6434e+00 -2.9988e+00 +1.1379e+00 +6.8508e-01 +1.7481e+00 -6.3382e-01 +3.9451e-02 +1.9054e+00 -8.4757e-01 +1.9176e+00 +4.2714e+00 +3.9357e+00 -3.9767e-01 +8.3705e-01 +2.1261e+00 +7.7160e-01 -4.4449e+00 +3.1868e+00
106 +8.974984474e+08 +8.974984474e+08 +8.974978263e+08 +8.974978263e+08 -4.1165e+00 -2.3559e+00 +2.4450e+00 -3.1628e+00 +9.5174e-01 +2.1374e-01 +1.5316e+00 -4.8585e-01 +1.7024e-01 +2.0431e+00 -8.8051e-01 +1.9751e+00 +4.4079e+00 +4.0328e+00 -2.6278e-01 +8.2439e-01 +2.1110e+00 +6.4197e-01 -4.3977e+00 +3.0729e+00
127 +6.116929866e+08 +6.116929866e+08 +6.116923655e+08 +6.116923655e+08 -4.0673e+00 -1.9628e+00 +2.2478e+00 -3.3274e+00 +7.7404e-01 -2.4135e-01 +1.3177e+00 -3.4527e-01 +2.9667e-01 +2.1771e+00 -9.1623e-01 +2.0305e+00 +4.5322e+00 +4.1211e+00 -1.2546e-01 +7.9651e-01 +2.0930e+00 +5.2363e-01 -4.3504e+00 +2.9581e+00
169 +3.538820621e+08 +3.538820621e+08 +3.538814410e+08 +3.538814410e+08 -3.9441e+00 -1.0766e+00 +1.7995e+00 -3.7060e+00 +3.8872e-01 -1.2413e+00 +8.3488e-01 -4.2690e-02 +5.7497e-01 +2.4742e+00 -1.0046e+00 +2.1516e+00 +4.7858e+00 +4.2999e+00 +1.9504e-01 +6.9304e-01 +2.0455e+00 +2.8133e-01 -4.2412e+00 +2.6925e+00
211 +2.033945500e+08 +2.033945500e+08 +2.033939289e+08 +2.033939289e+08 -3.7153e+00 +4.6344e-01 +1.0155e+00 -4.3740e+00 -2.6352e-01 -2.9465e+00 -4.2945e-03 +4.6520e-01 +1.0505e+00 +2.9844e+00 -1.1657e+00 +2.3566e+00 +5.1960e+00 +4.5853e+00 +7.6416e-01 +4.6408e-01 +1.9564e+00 -1.1159e-01 -4.0465e+00 +2.2208e+00
232 +1.345646675e+08 +1.345646675e+08 +1.345640464e+08 +1.345640464e+08 -3.4719e+00 +2.0893e+00 +1.8732e-01 -5.0809e+00 -9.5032e-01 -4.7415e+00 -8.8963e-01 +9.9855e-01 +1.5513e+00 +3.5217e+00 -1.3354e+00 +2.5717e+00 +5.6254e+00 +4.8823e+00 +1.3660e+00 +2.1564e-01 +1.8627e+00 -5.2335e-01 -3.8389e+00 +1.7204e+00
400 +7.905549758e+07 +7.905549758e+07 +7.905487647e+07 +7.905487647e+07 -2.8157e+00 +4.4761e+00 -1.1333e+00 -6.3546e+00 -1.6323e+00 -6.4939e+00 -2.0320e+00 +1.3159e+00 +2.1487e+00 +4.0131e+00 -1.3399e+00 +2.6368e+00 +5.6999e+00 +4.5683e+00 +2.4997e+00 -1.1211e+00 +1.9767e+00 -7.2458e-01 -3.1874e+00 +6.1244e-01
421 +4.579385023e+07 +4.579385023e+07 +4.579322912e+07 +4.579322912e+07 -2.5389e+00 +4.1537e+00 -1.0831e+00 -6.4710e+00 -1.1401e+00 -5.1769e+00 -1.6855e+00 +7.0307e-01 +1.8989e+00 +3.5822e+00 -1.0412e+00 +2.3222e+00 +5.0087e+00 +3.6923e+00 +2.6531e+00 -2.1294e+00 +2.2676e+00 -2.0281e-01 -2.8523e+00 +3.0622e-01
442 +2.072345847e+07 +2.072345847e+07 +2.072283736e+07 +2.072283736e+07 -2.2126e+00 +3.4462e+00 -8.7420e-01 -6.5048e+00 -3.6728e-01 -3.1174e+00 -1.0729e+00 -2.0356e-01 +1.4808e+00 +2.9165e+00 -6.1485e-01 +1.8670e+00 +4.0158e+00 +2.4760e+00 +2.7543e+00 -3.4278e+00 +2.6701e+00 +5.6205e-01 -2.4423e+00 -1.5245e-02
610 +1.488888906e+07 +1.488888906e+07 +1.488826795e+07 +1.488826795e+07 -2.4652e+00 +2.7585e+00 -4.5059e-01 -6.0412e+00 -5.8430e-02 -2.5819e+00 -6.8835e-01 -3.3729e-01 +1.3089e+00 +2.4082e+00 -4.2443e-01 +1.9346e+00 +4.0599e+00 +2.4081e+00 +2.5318e+00 -2.7221e+00 +2.5847e+00 +6.2069e-01 -2.6042e+00 +3.6948e-01
652 +7.170698486e+06 +7.170698486e+06 +7.170077376e+06 +7.170077376e+06 -2.7813e+00 +3.1169e+00 -4.0921e-01 -5.6940e+00 +2.0959e-01 -3.0798e+00 -6.7401e-01 -2.8427e-01 +1.4584e+00 +9.4585e-01 +3.3053e-01 +2.4414e+00 +4.6034e+00 +1.9594e+00 +3.0669e+00 -1.0579e+00 +2.2602e+00 +4.2103e-01 -2.5351e+00 +6.5728e-01
673 +4.301388040e+06 +4.301388040e+06 +4.300766930e+06 +4.300766930e+06 -2.5830e+00 +3.3423e+00 -5.8704e-01 -5.9335e+00 +2.4838e-01 -2.8979e+00 -7.3266e-01 -4.3097e-01 +1.4594e+00 +9.6503e-01 +3.8046e-01 +2.3251e+00 +4.3701e+00 +1.6677e+00 +3.2484e+00 -1.6561e+00 +2.3849e+00 +5.6442e-01 -2.3409e+00 +3.8624e-01
694 +3.680225898e+06 +3.680225898e+06 +3.679604788e+06 +3.679604788e+06 -2.5251e+00 +3.3511e+00 -6.0209e-01 -5.9604e+00 +3.8909e-01 -2.6421e+00 -6.6732e-01 -5.8005e-01 +1.4232e+00 +7.1637e-01 +5.3528e-01 +2.2943e+00 +4.2435e+00 +1.3829e+00 +3.3701e+00 -1.7892e+00 +2.4320e+00 +6.7772e-01 -2.2291e+00 +3.0723e-01
