% function evaluation | noise-free fitness - Fopt (9.294000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.960730477e+03 +2.960730477e+03 +3.053670477e+03 +3.053670477e+03 +2.8275e+00 +2.3414e+00 -3.7346e+00 -2.1073e-01 -3.4185e+00 -3.3735e+00 -1.0415e+00 +7.4948e-01 +2.7482e+00 +2.1532e+00 +3.8554e+00 -2.1027e+00 -2.1435e+00 +1.4072e+00 -1.3893e+00 +3.3041e+00 +1.4341e+00 -2.9750e+00 +1.1565e+00 +4.6658e+00
22 +2.092335789e+03 +2.092335789e+03 +2.185275789e+03 +2.185275789e+03 +3.5435e+00 -3.7199e+00 -1.1025e+00 -1.7775e+00 +1.4267e+00 +8.3217e-01 +1.3127e+00 +1.6606e+00 +4.4663e+00 -4.7883e+00 -5.0615e-01 -2.0399e+00 -1.5622e+00 +4.1347e+00 -7.4077e-01 -5.0723e-01 +4.8381e-01 +1.4829e-01 -2.4594e+00 -7.9050e-01
127 +1.566165939e+03 +1.566165939e+03 +1.659105939e+03 +1.659105939e+03 -3.6303e+00 +1.5886e+00 -1.9702e+00 -3.8762e+00 +8.6868e-01 +3.9111e+00 +4.7033e+00 -2.1784e+00 -3.7773e+00 +4.1532e+00 +1.3820e+00 -3.2712e+00 +1.6412e+00 -4.4566e-01 +1.2048e+00 -3.8426e-01 +3.8715e+00 +4.6196e+00 +4.5501e-01 -2.3176e+00
169 +6.919478732e+02 +6.919478732e+02 +7.848878732e+02 +7.848878732e+02 +1.8590e-01 +3.1569e+00 -3.7301e+00 -2.8309e+00 +4.1693e+00 +1.8845e+00 -1.7056e+00 +1.1534e+00 +4.7837e+00 +2.0232e+00 +2.7910e+00 -3.0180e+00 -2.8142e+00 +2.1839e+00 +1.2041e+00 -3.3076e+00 +3.4385e+00 -4.8109e+00 +7.3598e-01 -2.6663e-01
1366 +5.686091341e+02 +5.686091341e+02 +6.615491341e+02 +6.615491341e+02 -1.2782e-01 -2.6712e+00 +8.9482e-01 -8.0650e-02 +3.1115e-01 +3.9672e+00 +4.0965e+00 -5.5196e-01 +3.9957e+00 +2.4414e+00 -2.7819e+00 -3.0463e+00 -1.9487e+00 -8.2351e-02 -2.6948e+00 +3.4840e+00 +2.9983e+00 -1.9673e+00 -4.1244e+00 +9.3256e-01
% function evaluation | noise-free fitness - Fopt (3.535000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.061136904e+03 +2.061136904e+03 +2.096486904e+03 +2.096486904e+03 +3.3422e-01 -3.1001e+00 -2.4147e+00 +4.1143e+00 +1.7825e+00 +3.4859e+00 -2.4178e+00 +7.3975e-01 +3.8023e+00 +6.8693e-01 -1.1399e+00 -2.5808e+00 +4.1909e+00 +8.9115e-01 -2.3636e+00 +1.6608e+00 +2.6420e+00 +4.3066e+00 +4.5272e+00 -1.6751e+00
568 +1.068481495e+03 +1.068481495e+03 +1.103831495e+03 +1.103831495e+03 -4.0059e-01 +3.5389e+00 -2.0591e-01 -9.9562e-01 -1.8588e+00 +2.5836e+00 -3.4175e+00 -2.7911e+00 -4.9262e+00 -3.8710e+00 +2.6088e+00 -3.8336e+00 +4.9278e+00 +3.8748e+00 -4.8403e+00 -1.0529e+00 +1.5943e+00 -4.6440e-01 +4.6163e+00 -2.3856e+00
% function evaluation | noise-free fitness - Fopt (3.820000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.072861440e+03 +2.072861440e+03 +2.076681440e+03 +2.076681440e+03 +2.1239e+00 -2.5921e+00 -4.0086e+00 +3.3951e+00 +5.7702e-01 -4.9552e-03 +1.2995e+00 -1.2306e+00 -1.7783e+00 +4.5464e+00 +3.7650e+00 +4.5664e+00 +4.6038e+00 -2.8574e+00 +4.9660e+00 +1.8794e+00 -1.5459e+00 -3.3256e+00 -4.1336e+00 -2.8866e+00
43 +1.415191870e+03 +1.415191870e+03 +1.419011870e+03 +1.419011870e+03 +4.7628e+00 -2.1468e+00 +1.8736e+00 -2.6097e+00 -2.2064e+00 -5.8289e-01 +3.7642e+00 -4.2296e+00 -1.6365e+00 -3.6561e+00 +8.4807e-01 -1.8439e+00 +3.1011e-01 -3.5762e+00 +1.1896e+00 +3.0267e-02 -2.4940e+00 -1.4905e+00 -4.3294e+00 -1.0255e+00
190 +9.610694466e+02 +9.610694466e+02 +9.648894466e+02 +9.648894466e+02 +2.8887e+00 -1.3425e+00 +2.4266e+00 -2.9163e+00 -3.3381e+00 +3.0330e+00 +3.8141e+00 -1.2276e+00 -2.0118e+00 +3.6257e+00 +2.6438e+00 -2.3832e+00 -2.4628e+00 -8.4173e-01 +1.4504e+00 -2.3203e+00 +5.9185e-01 +4.2797e+00 +3.6490e+00 -1.8879e+00
% function evaluation | noise-free fitness - Fopt (2.175000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.853502876e+03 +1.853502876e+03 +1.875252876e+03 +1.875252876e+03 +3.7298e+00 -2.6235e-02 +4.1425e+00 +1.6060e+00 +3.7691e+00 -1.8898e+00 -8.1468e-01 +4.4345e+00 +3.3128e+00 +4.3058e+00 +2.2973e+00 +2.8692e-02 -1.9500e+00 -1.6522e+00 -4.5392e+00 -2.1458e+00 +3.6560e+00 +1.3490e+00 +1.8110e+00 +1.0535e+00
169 +1.538839435e+03 +1.538839435e+03 +1.560589435e+03 +1.560589435e+03 -1.0451e+00 -4.1578e+00 +1.1817e+00 -8.4848e-01 +3.1505e+00 +4.1635e+00 +1.5493e+00 -4.4846e+00 +9.1412e-01 +4.5020e+00 +2.5229e+00 -2.8663e+00 +2.5595e+00 +1.0296e+00 +3.4542e+00 -5.2541e-01 +3.7530e+00 +4.9272e+00 +4.8922e+00 +1.5645e+00
799 +8.685676896e+02 +8.685676896e+02 +8.903176896e+02 +8.903176896e+02 +2.1232e+00 -4.6010e-02 -1.3670e+00 +2.4705e+00 +9.6874e-01 +2.5938e+00 -6.3288e-01 -4.0196e+00 -4.8485e+00 +4.5817e+00 -2.4754e-01 +4.7360e+00 +1.5904e+00 -1.7626e+00 -2.7316e+00 -2.7669e+00 +1.7668e+00 -4.8574e-01 -5.4908e-01 +3.2570e+00
967 +6.299498714e+02 +6.299498714e+02 +6.516998714e+02 +6.516998714e+02 -2.6198e+00 -3.7915e+00 -2.1106e+00 +4.9543e+00 +4.9850e+00 -3.9641e+00 +4.8490e+00 -3.3287e+00 +4.0278e+00 +3.4389e+00 +8.9076e-03 -2.6684e+00 -2.2579e+00 +2.2296e-01 -1.5720e+00 +6.3047e-01 -3.6203e+00 -3.8111e+00 +1.8589e+00 +4.1840e+00
% function evaluation | noise-free fitness - Fopt (6.479000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.917325249e+03 +4.917325249e+03 +4.982115249e+03 +4.982115249e+03 -3.9831e+00 -5.2026e-01 +1.6335e-02 -3.9507e+00 -1.1532e+00 +4.2708e+00 -4.3412e+00 -8.6211e-01 +3.8668e+00 -4.6548e+00 -9.9159e-01 -9.9457e-01 +3.3992e+00 -1.1741e+00 -4.2672e+00 +2.0058e+00 -4.4787e+00 -2.7430e+00 +9.2888e-01 +1.7077e+00
22 +2.742165397e+03 +2.742165397e+03 +2.806955397e+03 +2.806955397e+03 -2.1318e+00 -2.7785e+00 -8.8832e-01 -4.3769e+00 +2.9057e+00 -2.2367e+00 +4.7570e+00 -2.2014e+00 +1.0549e+00 -2.4191e+00 +1.8517e+00 -2.5444e+00 +3.3347e+00 -4.1264e+00 -2.9531e+00 -1.7189e+00 +1.3709e+00 -4.5689e+00 -1.3714e+00 -2.2637e+00
43 +1.272285072e+03 +1.272285072e+03 +1.337075072e+03 +1.337075072e+03 -3.2850e-01 -6.8803e-01 -2.7736e-01 -3.8723e+00 -2.1362e+00 -2.6138e+00 +4.9453e-01 -2.8653e+00 -7.7767e-01 +2.6234e+00 -3.7266e-01 +3.7286e-01 +1.6878e+00 +1.9772e+00 +2.3282e+00 -2.0763e+00 -4.9801e+00 -9.8208e-01 -1.0432e+00 -1.7026e+00
85 +9.053626081e+02 +9.053626081e+02 +9.701526081e+02 +9.701526081e+02 -4.1369e+00 -4.1659e+00 +3.9477e+00 +2.2181e+00 +1.7317e+00 -8.0629e-01 -2.4502e+00 -7.3845e-01 -4.7683e+00 +1.8251e+00 +1.2476e+00 -4.9218e+00 +4.7188e+00 +4.6702e+00 -4.9470e+00 -1.0443e+00 +8.2135e-01 -4.1767e+00 -2.0977e+00 -7.0112e-01
% function evaluation | noise-free fitness - Fopt (9.294000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
