% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.432642313e+05 +1.432642313e+05 +1.427177313e+05 +1.427177313e+05 -4.8585e+00 -3.8123e+00 +2.7185e+00 -4.9012e+00 -2.0275e-01 -3.1242e+00 +3.2215e+00 -6.7308e-02 -6.0946e-01 +6.8963e-01 -2.6727e+00 +3.5466e+00 -1.9866e+00 -1.9640e+00 -2.0659e+00 -5.0770e-01 +2.6606e+00 -2.8941e+00 +4.7346e+00 +4.7830e-01
22 +9.688008781e+04 +9.688008781e+04 +9.633358781e+04 +9.633358781e+04 -4.8163e+00 -3.7920e+00 +2.6995e+00 -4.8255e+00 -2.0414e-01 -3.1381e+00 +3.1380e+00 -4.4265e-02 -6.0944e-01 +7.3382e-01 -2.4968e+00 +3.5755e+00 -1.8573e+00 -2.0252e+00 -1.7970e+00 -6.0438e-01 +2.6286e+00 -2.9966e+00 +3.7346e+00 +8.5552e-01
43 +8.934864433e+03 +8.934864433e+03 +8.388364433e+03 +8.388364433e+03 -4.4861e+00 -3.6303e+00 +2.5560e+00 -4.2516e+00 -2.1785e-01 -3.2246e+00 +2.5348e+00 +1.0440e-01 -6.0928e-01 +1.0345e+00 -1.3292e+00 +3.6485e+00 -1.0250e+00 -2.3760e+00 -2.9648e-01 -1.0057e+00 +2.3128e+00 -2.6643e+00 -3.0463e-01 +1.5046e+00
64 +5.033331406e+03 +5.033331406e+03 +4.486831406e+03 +4.486831406e+03 -4.3002e+00 -3.5346e+00 +2.4818e+00 -3.9548e+00 -2.2929e-01 -3.2439e+00 +2.2634e+00 +1.4627e-01 -6.0916e-01 +1.1476e+00 -9.2143e-01 +3.5346e+00 -7.6278e-01 -2.4454e+00 -1.2661e-02 -1.0321e+00 +2.2058e+00 -2.3198e+00 -6.6338e-01 +1.5451e+00
85 +2.014881626e+03 +2.014881626e+03 +1.468381626e+03 +1.468381626e+03 -3.9357e+00 -3.3406e+00 +2.3451e+00 -3.4078e+00 -2.5535e-01 -3.2508e+00 +1.8081e+00 +1.8440e-01 -6.0896e-01 +1.3160e+00 -3.4450e-01 +3.2383e+00 -4.0787e-01 -2.5040e+00 +2.3148e-01 -1.0663e+00 +2.1174e+00 -2.0499e+00 -1.0334e+00 +1.6041e+00
106 +7.591938264e+02 +7.591938264e+02 +2.126938264e+02 +2.126938264e+02 -3.5526e+00 -3.1267e+00 +2.2149e+00 -2.8861e+00 -2.8698e-01 -3.2199e+00 +1.4201e+00 +2.1102e-01 -6.0871e-01 +1.4316e+00 +2.2838e-02 +2.9127e+00 -1.8936e-01 -2.5486e+00 +4.1626e-01 -1.0930e+00 +2.0535e+00 -1.8626e+00 -1.3292e+00 +1.6495e+00
127 +2.931227028e+02 +2.931227028e+02 -2.533772972e+02 -2.533772972e+02 -3.1966e+00 -2.9152e+00 +2.1105e+00 -2.4677e+00 -3.1940e-01 -3.1544e+00 +1.1569e+00 +2.3205e-01 -6.0847e-01 +1.5158e+00 +2.9137e-01 +2.6848e+00 -1.7953e-02 -2.5840e+00 +5.6134e-01 -1.1134e+00 +2.0027e+00 -1.7139e+00 -1.5596e+00 +1.6848e+00
148 +1.200060095e+02 +1.200060095e+02 -4.264939905e+02 -4.264939905e+02 -2.9157e+00 -2.7347e+00 +2.0452e+00 -2.2060e+00 -3.4612e-01 -3.0907e+00 +9.7790e-01 +2.4677e-01 -6.0821e-01 +1.5742e+00 +4.8251e-01 +2.5423e+00 +1.0144e-01 -2.6085e+00 +6.6152e-01 -1.1272e+00 +1.9673e+00 -1.6110e+00 -1.7194e+00 +1.7091e+00
169 +1.158229068e+01 +1.158229068e+01 -5.349177093e+02 -5.349177093e+02 -2.5169e+00 -2.4631e+00 +1.9537e+00 -1.8391e+00 -3.8366e-01 -3.0024e+00 +7.2267e-01 +2.6791e-01 -6.0779e-01 +1.6573e+00 +7.5426e-01 +2.3395e+00 +2.7158e-01 -2.6432e+00 +8.0436e-01 -1.1467e+00 +1.9170e+00 -1.4644e+00 -1.9465e+00 +1.7436e+00
190 +7.701291454e+00 +7.701291454e+00 -5.387987085e+02 -5.387987085e+02 -2.4611e+00 -2.4110e+00 +1.9396e+00 -1.7826e+00 -3.8914e-01 -2.9904e+00 +6.8326e-01 +2.7130e-01 -6.0770e-01 +1.6701e+00 +7.9604e-01 +2.3084e+00 +2.9772e-01 -2.6484e+00 +8.2628e-01 -1.1497e+00 +1.9093e+00 -1.4419e+00 -1.9812e+00 +1.7492e+00
211 +4.483831831e+00 +4.483831831e+00 -5.420161682e+02 -5.420161682e+02 -2.3863e+00 -2.3333e+00 +1.9201e+00 -1.7041e+00 -3.9697e-01 -2.9733e+00 +6.2842e-01 +2.7617e-01 -6.0755e-01 +1.6880e+00 +8.5396e-01 +2.2654e+00 +3.3393e-01 -2.6552e+00 +8.5653e-01 -1.1538e+00 +1.8988e+00 -1.4103e+00 -2.0291e+00 +1.7571e+00
316 +3.684510898e+00 +3.684510898e+00 -5.428154891e+02 -5.428154891e+02 -2.2742e+00 -2.2186e+00 +1.8980e+00 -1.6026e+00 -4.3153e-01 -2.9219e+00 +5.6050e-01 +3.0330e-01 -6.0460e-01 +1.7271e+00 +9.3225e-01 +2.2411e+00 +3.5535e-01 -2.6185e+00 +8.7221e-01 -1.1645e+00 +1.9061e+00 -1.3634e+00 -2.0646e+00 +1.7794e+00
799 +2.453368395e+00 +2.453368395e+00 -5.440466316e+02 -5.440466316e+02 -2.1279e+00 -2.2070e+00 +1.9072e+00 -1.4607e+00 -5.6933e-01 -2.7680e+00 +5.7738e-01 +3.9210e-01 -5.8560e-01 +1.8517e+00 +1.0044e+00 +2.3987e+00 +2.9741e-01 -2.5734e+00 +8.4290e-01 -1.2518e+00 +1.9082e+00 -1.3586e+00 -1.9023e+00 +1.7887e+00
14155 +1.569088729e+00 +1.569088729e+00 -5.449309113e+02 -5.449309113e+02 -2.0901e+00 -2.2287e+00 -6.9701e-02 +3.1145e-01 +5.5075e-01 +1.8925e-01 -1.6091e-01 +2.0847e-01 -2.5737e+00 -1.1378e-01 +1.4535e-01 +2.5875e+00 +2.3465e-01 -2.5643e+00 +8.2478e-01 -1.9939e+00 +1.7140e+00 -1.8214e+00 -1.8225e+00 +1.3258e+00
346060 +9.997535350e-01 +9.997535350e-01 -5.455002465e+02 -5.455002465e+02 -2.1154e+00 +4.3380e-01 -6.8864e-01 +1.0374e+00 +5.9628e-02 +5.4893e-02 -2.6393e+00 +1.9707e+00 -2.1294e+00 -7.9811e-03 +2.6332e+00 +1.9764e+00 +3.8862e-01 -4.3864e-01 +2.0531e+00 -6.6203e-01 +2.4641e+00 -2.0147e+00 -9.1534e-01 +1.2584e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.775095730e+04 +7.775095730e+04 +7.875095730e+04 +7.875095730e+04 +3.5980e+00 -1.4411e+00 +4.8800e+00 +2.0756e-01 -2.5404e-01 -4.2215e+00 -2.4274e+00 +4.4197e-03 +2.0377e+00 +1.9186e+00 -3.4805e+00 -2.9216e+00 +1.8093e+00 +1.0225e+00 -2.7969e+00 -5.5577e-01 +6.1592e-01 -3.4690e+00 -4.8956e+00 +1.5141e+00
22 +4.612498462e+04 +4.612498462e+04 +4.712498462e+04 +4.712498462e+04 +3.5499e+00 -1.3685e+00 +4.6952e+00 +1.9571e-01 -3.1250e-01 -3.9878e+00 -2.4274e+00 +4.9866e-02 +1.7891e+00 +1.6557e+00 -3.4268e+00 -2.8446e+00 +1.4787e+00 +6.5659e-01 -2.7970e+00 -6.4467e-01 +3.0009e-01 -3.0585e+00 -3.8956e+00 +1.5139e+00
43 +7.721605254e+03 +7.721605254e+03 +8.721605254e+03 +8.721605254e+03 +3.3130e+00 -1.0291e+00 +3.7866e+00 +1.6032e-01 -5.9121e-01 -2.8739e+00 -2.4273e+00 +2.3816e-01 +7.5708e-01 +5.6631e-01 -3.1502e+00 -2.4289e+00 +3.2980e-01 -5.7853e-01 -2.7966e+00 -9.2565e-01 -8.3243e-01 -2.5805e+00 -1.8484e+00 +1.5154e+00
