% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.220669464e+02 +7.220669464e+02 +8.246769464e+02 +8.246769464e+02 -9.7571e-01 +3.7700e+00 -8.9267e-01 +1.6439e+00 -2.5752e+00 +2.4858e+00 -4.5363e-01 -3.8151e+00 -3.8100e+00 -4.8649e+00 -2.4159e+00 -4.9088e+00 -3.4583e+00 -3.0189e+00 +2.1939e+00 +1.6152e+00 +1.1748e+00 +2.4665e+00 +2.3781e+00 -3.1320e+00
169 +6.193510596e+02 +6.193510596e+02 +7.219610596e+02 +7.219610596e+02 -1.0371e+00 +3.7793e+00 -9.1614e-01 +1.6250e+00 -2.5313e+00 +2.5520e+00 -4.1565e-01 -3.7997e+00 -3.8097e+00 -4.8283e+00 -2.4165e+00 -4.9114e+00 -3.4534e+00 -2.9822e+00 +2.2141e+00 +1.5987e+00 +1.1429e+00 +2.4697e+00 +2.3842e+00 -3.0745e+00
77071 +3.880894086e+02 +3.880894086e+02 +4.906994086e+02 +4.906994086e+02 +5.4962e-01 +1.5811e+00 -4.7424e+00 +1.8944e+00 -4.3641e+00 +2.4264e-01 -4.8722e-01 -3.5679e+00 -3.5367e+00 -4.6739e+00 -3.5572e+00 -3.7626e+00 -4.5155e+00 +1.7495e+00 +4.6854e-01 +8.4283e-01 -4.5449e+00 +3.9478e-01 +1.8068e+00 +7.0955e-01
% function evaluation | noise-free fitness - Fopt (9.330000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.323793065e+02 +9.323793065e+02 +1.025679306e+03 +1.025679306e+03 -2.7839e+00 +3.1185e+00 -4.4380e+00 -3.5382e+00 +1.7955e+00 -3.4801e+00 -2.0142e+00 +4.3450e+00 +2.4902e+00 -1.6314e+00 +1.5106e-01 -1.5284e+00 -2.2852e+00 +4.2137e+00 -1.5616e+00 +3.3661e+00 +1.1308e+00 -4.6763e+00 -1.5148e+00 +4.8112e+00
1345 +6.255037867e+02 +6.255037867e+02 +7.188037867e+02 +7.188037867e+02 +1.1659e+00 +2.8776e+00 -4.5749e+00 -3.0927e+00 -3.5277e+00 +3.7385e+00 -3.2378e+00 +7.6477e-01 -4.9565e+00 +3.2844e+00 -1.8659e+00 -4.6670e+00 -5.4850e-01 -1.7366e+00 -1.1912e+00 +9.6883e-01 +1.4843e+00 +1.2882e+00 +4.1438e+00 -2.0854e+00
4579 +3.962235977e+02 +3.962235977e+02 +4.895235977e+02 +4.895235977e+02 +1.1576e+00 -1.3154e+00 +1.6052e+00 -3.3163e+00 +3.2687e+00 +3.4957e+00 -1.4037e+00 +3.3443e+00 +5.6515e-01 -1.3200e+00 -2.8157e+00 -1.4447e+00 +1.5028e+00 +3.2563e+00 +1.8153e+00 -4.3005e+00 -3.3362e+00 -3.2091e+00 -2.6955e+00 -1.8378e+00
% function evaluation | noise-free fitness - Fopt (1.364000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.015322019e+03 +1.015322019e+03 +1.028962019e+03 +1.028962019e+03 +5.6248e-01 +4.5695e+00 -4.7777e+00 +2.2966e+00 -4.2057e+00 +2.2154e+00 -4.4284e+00 -1.6721e+00 +1.9742e+00 -1.4396e+00 +3.2181e+00 -1.6253e+00 +4.7013e+00 -2.5253e+00 -3.3591e+00 -1.2142e+00 +4.5736e+00 +4.0330e+00 +2.4874e+00 +4.8193e+00
85 +9.608552583e+02 +9.608552583e+02 +9.744952583e+02 +9.744952583e+02 +5.4833e-01 +4.5624e+00 -4.7917e+00 +2.2989e+00 -4.2189e+00 +2.2173e+00 -4.4267e+00 -1.6781e+00 +1.9870e+00 -1.4277e+00 +3.2156e+00 -1.6145e+00 +4.7150e+00 -2.5182e+00 -3.3459e+00 -1.2099e+00 +4.5823e+00 +4.0230e+00 +2.5085e+00 +4.8191e+00
1408 +5.759656556e+02 +5.759656556e+02 +5.896056556e+02 +5.896056556e+02 -1.1532e+00 -5.8556e-01 +1.4275e+00 -4.3840e+00 +1.0613e+00 +6.1612e-02 +9.4663e-01 -1.7826e+00 +4.4449e+00 -1.0845e+00 -3.1239e+00 -1.2056e+00 +3.7530e+00 -1.3706e+00 -4.0241e+00 -2.3148e+00 -1.9875e+00 -2.9225e+00 -8.2079e-01 +1.6742e+00
20602 +3.947760390e+02 +3.947760390e+02 +4.084160390e+02 +4.084160390e+02 -2.7464e+00 +3.2172e+00 +1.5515e+00 +3.0337e+00 +1.9130e-01 -1.9941e+00 -4.0731e+00 +6.1555e-02 -1.0634e+00 -3.4519e+00 +4.7057e-01 +4.9658e+00 -4.1463e-01 -9.6702e-01 +3.1665e+00 -3.1146e+00 +3.7109e-01 +4.0812e+00 -1.9425e+00 +3.8754e+00
% function evaluation | noise-free fitness - Fopt (1.948000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.775186915e+02 +6.775186915e+02 +8.723186915e+02 +8.723186915e+02 -2.5783e+00 -3.0065e+00 +1.0941e+00 -8.8435e-01 +3.7514e+00 -1.8277e+00 +2.5152e+00 +4.2783e+00 +4.7770e-01 +4.3489e-01 -3.6358e+00 -8.3488e-01 -3.3653e+00 -1.9947e+00 +2.3714e+00 -4.2213e+00 -2.9612e+00 +2.8034e+00 +4.5867e+00 +3.5662e+00
106 +6.263727558e+02 +6.263727558e+02 +8.211727558e+02 +8.211727558e+02 -2.5821e+00 -3.0165e+00 +1.1044e+00 -8.7638e-01 +3.7365e+00 -1.8189e+00 +2.5210e+00 +4.2911e+00 +4.8566e-01 +4.4935e-01 -3.6548e+00 -8.3417e-01 -3.3349e+00 -1.9885e+00 +2.3599e+00 -4.2083e+00 -2.9660e+00 +2.7814e+00 +4.5743e+00 +3.5739e+00
27385 +3.933644575e+02 +3.933644575e+02 +5.881644575e+02 +5.881644575e+02 -2.5314e+00 +4.9227e+00 +2.6636e+00 +2.5316e+00 +1.5709e+00 -1.6458e+00 +9.2458e-01 -3.9110e+00 -3.2518e+00 +1.4494e+00 +2.3013e+00 -8.8468e-01 +5.7548e-01 +1.3970e+00 -3.3572e+00 +4.3326e-01 +1.1112e-01 -2.5773e+00 +3.4809e+00 +2.3217e+00
% function evaluation | noise-free fitness - Fopt (-1.335900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.615700343e+02 +8.615700343e+02 +7.279800343e+02 +7.279800343e+02 +3.4962e+00 -1.4714e+00 +2.5661e-02 -7.1639e-01 +2.0207e+00 +2.4305e+00 -4.2445e+00 +3.9940e-01 -2.5851e+00 +3.5847e+00 -3.1710e+00 +2.4411e+00 +1.6996e+00 -3.3289e+00 -3.8118e+00 +1.6634e+00 +4.1802e+00 +3.8869e+00 +3.6155e+00 +4.6337e+00
1093 +6.253931896e+02 +6.253931896e+02 +4.918031896e+02 +4.918031896e+02 +4.2957e+00 +1.8663e+00 +3.8280e-01 +1.6389e+00 -1.6548e+00 -1.7423e+00 +4.2316e+00 +2.2991e-01 -2.2696e+00 -3.4764e+00 -3.5979e+00 -3.5331e+00 +3.6239e+00 +4.0159e+00 -4.9607e+00 +9.1828e-01 +7.1386e-01 -3.5860e+00 -1.4830e+00 -2.7807e+00
5923 +3.887592635e+02 +3.887592635e+02 +2.551692635e+02 +2.551692635e+02 +3.0105e+00 -1.0971e+00 +1.5250e+00 +2.0307e+00 +3.4001e+00 -6.3050e-01 +9.2284e-02 +8.9222e-01 -2.9133e+00 -9.8077e-01 -2.3193e+00 +2.0027e+00 +5.6182e-01 -4.3930e+00 -1.7550e+00 +8.1119e-01 +8.3182e-01 -4.1567e+00 +1.4774e+00 -3.8368e+00
% function evaluation | noise-free fitness - Fopt (1.948000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
